Id,Name,DeveloperName,NamespacePrefix,SobjectType,IsSoqlCompatible,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate
00BdM000009ePuiUAE,All Engagement Channel Types,All_EngagementChannelTypes,,EngagementChannelType,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuEUAU,All Entitlements,All_Entitlements,,Entitlement,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuGUAU,Today's Agenda,TodaysAgenda,,Event,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuHUAU,My Upcoming Events,MyUpcomingEvents,,Event,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuIUAU,My Team's Upcoming Events,MyTeamsUpcomingEvents,,Event,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuMUAU,My Recent Events,MyRecentEvents,,Event,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuNUAU,My Team's Recent Events,MyTeamsRecentEvents,,Event,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuOUAU,New This Week,NewThisWeek,,Event,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4H0UAI,My Finance Balance Snapshots,mine,,FinanceBalanceSnapshot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4H9UAI,All Finance Balance Snapshots,All,,FinanceBalanceSnapshot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4H7UAI,All Finance Transactions,All,,FinanceTransaction,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4H8UAI,My Finance Transactions,mine,,FinanceTransaction,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuZUAU,All Flows,All_Flows,,FlowDefinitionView,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HOUAY,Triggered Flows,TriggeredFlows,,FlowDefinitionView,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuTUAU,All Paused Flow Interviews,AllFlowInterviewsList,,FlowInterview,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009f4HQUAY,All Failed Flow Interviews,AllFailedFlowInterviews,,FlowInterview,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009f4HYUAY,All Orchestration Runs,All_Orchestration_Instances,,FlowOrchestrationInstance,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HZUAY,All Open Work Items,ALL_Open_Work_Items,,FlowOrchestrationWorkItem,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HaUAI,All Work Items,All_Work_Items,,FlowOrchestrationWorkItem,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4JvUAI,All,AllForecastSharing,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4K3UAI,All,AllForecastShareDetails,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4HXUAY,fct0Db410000008KFZCA2Amt1Qty0Quota1Pred1,fct0Db410000008KFZCA2Amt1Qty0Quota1Pred1,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HbUAI,fct0Db410000008KFZCA2Amt1Qty0Quota0Pred0,fct0Db410000008KFZCA2Amt1Qty0Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HcUAI,fct0Db410000008KFZCA2Amt1Qty0Quota1Pred0,fct0Db410000008KFZCA2Amt1Qty0Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HdUAI,fct0Db410000008KFZCA2Amt1Qty0Quota0Pred1,fct0Db410000008KFZCA2Amt1Qty0Quota0Pred1,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HeUAI,fct0Db410000008KFaCAMAmt0Qty1Quota0Pred0,fct0Db410000008KFaCAMAmt0Qty1Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HfUAI,fct0Db410000008KFaCAMAmt0Qty1Quota1Pred0,fct0Db410000008KFaCAMAmt0Qty1Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HgUAI,fct0Db410000008KFbCAMAmt1Qty0Quota0Pred0,fct0Db410000008KFbCAMAmt1Qty0Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HhUAI,fct0Db410000008KFbCAMAmt1Qty0Quota1Pred0,fct0Db410000008KFbCAMAmt1Qty0Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HiUAI,fct0Db410000008KFcCAMAmt0Qty1Quota0Pred0,fct0Db410000008KFcCAMAmt0Qty1Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HjUAI,fct0Db410000008KFcCAMAmt0Qty1Quota1Pred0,fct0Db410000008KFcCAMAmt0Qty1Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HkUAI,fct0Db41000003I27OCASAmt1Qty0Quota0Pred0,fct0Db41000003I27OCASAmt1Qty0Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HlUAI,fct0Db41000003I27OCASAmt1Qty0Quota1Pred0,fct0Db41000003I27OCASAmt1Qty0Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HmUAI,fct0Db41000003I27PCASAmt0Qty1Quota0Pred0,fct0Db41000003I27PCASAmt0Qty1Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HnUAI,fct0Db41000003I27PCASAmt0Qty1Quota1Pred0,fct0Db41000003I27PCASAmt0Qty1Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HoUAI,fct0Db41000003I27QCASAmt1Qty0Quota0Pred0,fct0Db41000003I27QCASAmt1Qty0Quota0Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HpUAI,fct0Db41000003I27QCASAmt1Qty0Quota1Pred0,fct0Db41000003I27QCASAmt1Qty0Quota1Pred0,,ForecastingItemPivot,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
